Lead_ID,Location,College,Year_of_Study,Program_Interest,Lead_Source
LD369,Shimla,Himachal Pradesh University,4th,Finance,WhatsApp
LD370,Rishikesh,Sri Hemkunt Sahib Public School,1st,Business Analytics,LinkedIn
LD371,Udaipur,Vidya Bhawan Polytechnic College,4th,AI,LinkedIn
LD372,Kolkata,Indian Institute of Technology Kharagpur,2nd,Data Science,Collaboration
LD373,Hyderabad,"Jawaharlal Nehru Technological University, Hyderabad",3rd,Electric Vehicle,College
LD374,Chennai,Indian Institute of Technology Madras,3rd,Business Analytics,College
LD375,Rishikesh,"All India Institute of Medical Sciences, Rishikesh",4th,Finance,WhatsApp
LD376,Pune,Symbiosis International University,4th,Data Analytics,Mass-Mailing
LD377,Ahmedabad,Indian Institute of Management Ahmedabad,3rd,Prompt Engineering,Collaboration
LD378,Varanasi,Sampurnanand Sanskrit University,3rd,Data Analytics,Google Form
LD379,Amritsar,"Khalsa College, Amritsar",2nd,AI,Google Form
LD380,Lucknow,"Amity University, Lucknow",2nd,Data Analytics,Google Form
LD381,Delhi,All India Institute of Medical Sciences,2nd,AI,WhatsApp
LD382,Mumbai,University of Mumbai,1st,Prompt Engineering,Instagram
LD383,Ahmedabad,Nirma University,3rd,AI,College
LD384,Chennai,Anna University,1st,Accounting,WhatsApp
LD385,Kolkata,Indian Institute of Technology Kharagpur,1st,Software Engineering,Collaboration
LD386,Goa,"Birla Institute of Technology and Science, Goa",1st,Electric Vehicle,College
LD387,Srinagar,Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,4th,Robotics,Instagram
LD388,Udaipur,Vidya Bhawan Polytechnic College,1st,Robotics,LinkedIn
LD389,Hyderabad,"Jawaharlal Nehru Technological University, Hyderabad",4th,Business Analytics,Google Form
LD390,Shimla,St. Bede's College,4th,Data Science,Mass-Mailing
LD391,Rishikesh,Parmarth Niketan,4th,Electric Vehicle,Instagram
LD392,Pune,Symbiosis International University,1st,Business Analytics,Mass-Mailing
LD393,Amritsar,Sri Guru Ram Das University of Health Sciences,1st,Business Analytics,Instagram
LD394,Bangalore,Indian Institute of Management Bangalore,1st,Accounting,LinkedIn
LD395,Ahmedabad,CEPT University,2nd,Prompt Engineering,Google Form
LD396,Udaipur,Mohanlal Sukhadia University,1st,Prompt Engineering,College
LD397,Agra,St. John's College,1st,Prompt Engineering,Mass-Mailing
LD398,Bangalore,RV College of Engineering,1st,Robotics,College
LD399,Shimla,Indian Institute of Advanced Study,2nd,Data Analytics,College
LD400,Shimla,Indira Gandhi Medical College,2nd,Business Analytics,Mass-Mailing
LD401,Ahmedabad,Indian Institute of Management Ahmedabad,1st,Finance,Google Form
LD402,Mysore,Mahajana Education Society,4th,Business Analytics,College
LD403,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",4th,Finance,Google Form
LD404,Mysore,University of Mysore,4th,Electric Vehicle,Google Form
LD405,Chennai,Madras Christian College,1st,Software Engineering,LinkedIn
LD406,Mysore,All India Institute of Speech and Hearing,4th,Accounting,LinkedIn
LD407,Jaipur,"St. Xavier's College, Jaipur",4th,Accounting,LinkedIn
LD408,Mumbai,Narsee Monjee Institute of Management Studies,3rd,Finance,Collaboration
LD409,Kolkata,Presidency University,1st,Data Science,Mass-Mailing
LD410,Varanasi,Banaras Hindu University,4th,Business Analytics,College
LD411,Delhi,Indian Institute of Technology Delhi,2nd,Prompt Engineering,WhatsApp
LD412,Delhi,Jawaharlal Nehru University,2nd,Finance,Collaboration
LD413,Agra,Dr. Bhimrao Ambedkar University,4th,Robotics,College
LD414,Varanasi,Banaras Hindu University,1st,Electric Vehicle,WhatsApp
LD415,Bangalore,Christ University,4th,Data Science,Collaboration
LD416,Lucknow,"Amity University, Lucknow",1st,Accounting,Collaboration
LD417,Agra,Hindustan College of Science and Technology,2nd,Data Analytics,Mass-Mailing
LD418,Shimla,Indian Institute of Advanced Study,1st,Electric Vehicle,College
LD419,Chennai,Indian Institute of Technology Madras,1st,Robotics,Collaboration
LD420,Lucknow,"Amity University, Lucknow",3rd,Data Analytics,Mass-Mailing
LD421,Goa,National Institute of Oceanography,3rd,Data Analytics,Google Form
LD422,Kolkata,Jadavpur University,4th,Data Science,Instagram
LD423,Shimla,Himachal Pradesh University,3rd,Finance,LinkedIn
LD424,Lucknow,Babasaheb Bhimrao Ambedkar University,3rd,Accounting,LinkedIn
LD425,Agra,Hindustan College of Science and Technology,4th,Data Analytics,Collaboration
LD426,Goa,Goa University,2nd,Business Analytics,Google Form
LD427,Goa,Goa University,3rd,Software Engineering,LinkedIn
LD428,Goa,"Birla Institute of Technology and Science, Goa",1st,AI,Instagram
LD429,Amritsar,BBK DAV College for Women,3rd,Finance,WhatsApp
LD430,Goa,"Birla Institute of Technology and Science, Goa",4th,Data Analytics,WhatsApp
LD431,Rishikesh,Sri Hemkunt Sahib Public School,4th,Finance,WhatsApp
LD432,Bangalore,Indian Institute of Management Bangalore,3rd,Prompt Engineering,College
LD433,Varanasi,Mahatma Gandhi Kashi Vidyapith,2nd,Business Analytics,Google Form
LD434,Mumbai,Narsee Monjee Institute of Management Studies,1st,Finance,College
LD435,Mumbai,Indian Institute of Technology Bombay,3rd,Prompt Engineering,Instagram
LD436,Jaipur,Manipal University Jaipur,4th,AI,Google Form
LD437,Mysore,"National Institute of Engineering, Mysore",4th,Prompt Engineering,LinkedIn
LD438,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",4th,Business Analytics,WhatsApp
LD439,Srinagar,National Institute of Technology Srinagar,3rd,Prompt Engineering,College
LD440,Shimla,"DAV Centenary Public School, Shimla",3rd,Robotics,WhatsApp
LD441,Srinagar,University of Kashmir,4th,Data Science,College
LD442,Rishikesh,"All India Institute of Medical Sciences, Rishikesh",4th,Software Engineering,Mass-Mailing
LD443,Udaipur,Mohanlal Sukhadia University,3rd,Data Analytics,Instagram
LD444,Jaipur,"Birla Institute of Technology and Science, Pilani",4th,Business Analytics,Instagram
LD445,Goa,National Institute of Oceanography,4th,Data Science,LinkedIn
LD446,Goa,Padre Conceicao College of Engineering,3rd,Data Analytics,Collaboration
LD447,Shimla,Indian Institute of Advanced Study,1st,Prompt Engineering,Google Form
LD448,Mysore,Mahajana Education Society,3rd,Robotics,WhatsApp
LD449,Shimla,Indian Institute of Advanced Study,3rd,Business Analytics,Google Form
LD450,Hyderabad,"Jawaharlal Nehru Technological University, Hyderabad",4th,Data Science,Google Form
LD451,Pune,University of Pune,3rd,Finance,LinkedIn
LD452,Varanasi,Ashoka Institute of Technology and Management,3rd,Prompt Engineering,LinkedIn
LD453,Rishikesh,Sri Hemkunt Sahib Public School,2nd,Data Analytics,Instagram
LD454,Mumbai,Narsee Monjee Institute of Management Studies,3rd,Finance,College
LD455,Varanasi,Mahatma Gandhi Kashi Vidyapith,2nd,Prompt Engineering,Mass-Mailing
LD456,Pune,Symbiosis International University,4th,Data Analytics,Mass-Mailing
LD457,Jaipur,Manipal University Jaipur,3rd,Data Science,College
LD458,Agra,Dayalbagh Educational Institute,4th,Accounting,Mass-Mailing
LD459,Kolkata,Indian Statistical Institute,2nd,Data Science,WhatsApp
LD460,Amritsar,Guru Nanak Dev University,2nd,Data Analytics,Collaboration
LD461,Bangalore,Indian Institute of Science,2nd,Finance,Google Form
LD462,Mysore,"National Institute of Engineering, Mysore",4th,Business Analytics,Mass-Mailing
LD463,Mumbai,St. Xavier's College,1st,Prompt Engineering,Collaboration
LD464,Amritsar,"Khalsa College, Amritsar",4th,Software Engineering,Instagram
LD465,Udaipur,Janardan Rai Nagar Rajasthan Vidyapeeth University,4th,Business Analytics,Collaboration
LD466,Mumbai,University of Mumbai,2nd,Robotics,Collaboration
LD467,Ahmedabad,Indian Institute of Technology Gandhinagar,4th,Prompt Engineering,Mass-Mailing
LD468,Udaipur,Mohanlal Sukhadia University,3rd,Prompt Engineering,Instagram
LD469,Bangalore,Indian Institute of Management Bangalore,4th,AI,Google Form
LD470,Delhi,Jawaharlal Nehru University,2nd,Accounting,Mass-Mailing
LD471,Delhi,Indian Institute of Technology Delhi,2nd,Accounting,WhatsApp
LD472,Mumbai,Narsee Monjee Institute of Management Studies,4th,AI,Instagram
LD473,Lucknow,Babasaheb Bhimrao Ambedkar University,4th,Robotics,Instagram
LD474,Delhi,Indian Institute of Technology Delhi,3rd,Data Science,Google Form
LD475,Delhi,Indian Institute of Technology Delhi,3rd,AI,College
LD476,Pune,"College of Engineering, Pune",2nd,Electric Vehicle,Mass-Mailing
LD477,Rishikesh,Dev Sanskriti Vishwavidyalaya,2nd,Electric Vehicle,Instagram
LD478,Goa,"Birla Institute of Technology and Science, Goa",3rd,Prompt Engineering,Mass-Mailing
LD479,Amritsar,BBK DAV College for Women,3rd,Prompt Engineering,College
LD480,Chennai,University of Madras,2nd,Accounting,WhatsApp
LD481,Lucknow,University of Lucknow,3rd,AI,College
LD482,Delhi,All India Institute of Medical Sciences,1st,Software Engineering,LinkedIn
LD483,Lucknow,Babasaheb Bhimrao Ambedkar University,1st,Robotics,College
LD484,Srinagar,Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,2nd,Data Science,Google Form
LD485,Bangalore,Christ University,2nd,Data Science,Instagram
LD486,Kolkata,Jadavpur University,1st,Robotics,College
LD487,Amritsar,"Hindu College, Amritsar",3rd,Electric Vehicle,Collaboration
LD488,Jaipur,University of Rajasthan,2nd,AI,College
LD489,Rishikesh,Sri Hemkunt Sahib Public School,3rd,Finance,Google Form
LD490,Varanasi,Mahatma Gandhi Kashi Vidyapith,4th,Prompt Engineering,Instagram
LD491,Agra,St. John's College,3rd,Electric Vehicle,Collaboration
LD492,Goa,National Institute of Oceanography,4th,Business Analytics,Mass-Mailing
LD493,Amritsar,BBK DAV College for Women,1st,Robotics,WhatsApp
LD494,Kolkata,University of Calcutta,3rd,Business Analytics,Mass-Mailing
LD495,Pune,University of Pune,3rd,Software Engineering,Google Form
LD496,Amritsar,"Khalsa College, Amritsar",2nd,Business Analytics,WhatsApp
LD497,Udaipur,Vidya Bhawan Polytechnic College,4th,Finance,Google Form
LD498,Lucknow,King George's Medical University,4th,Accounting,WhatsApp
LD499,Pune,University of Pune,3rd,Accounting,College
LD500,Kolkata,Jadavpur University,1st,AI,Mass-Mailing
LD501,Delhi,University of Delhi,2nd,Prompt Engineering,Google Form
LD502,Udaipur,Mohanlal Sukhadia University,1st,Prompt Engineering,Instagram
LD503,Hyderabad,"Jawaharlal Nehru Technological University, Hyderabad",1st,Data Analytics,Collaboration
LD504,Goa,Padre Conceicao College of Engineering,2nd,Robotics,Collaboration
LD505,Udaipur,Pacific University,1st,Business Analytics,Mass-Mailing
LD506,Goa,National Institute of Oceanography,3rd,Data Science,Collaboration
LD507,Bangalore,RV College of Engineering,2nd,Business Analytics,College
LD508,Pune,University of Pune,3rd,Prompt Engineering,Instagram
LD509,Lucknow,Indian Institute of Management Lucknow,1st,Accounting,Google Form
LD510,Varanasi,Ashoka Institute of Technology and Management,3rd,Data Analytics,Collaboration
LD511,Bangalore,Bangalore University,3rd,Finance,Google Form
LD512,Kolkata,Presidency University,3rd,AI,LinkedIn
LD513,Mumbai,Indian Institute of Technology Bombay,4th,AI,WhatsApp
LD514,Srinagar,National Institute of Technology Srinagar,2nd,Data Analytics,LinkedIn
LD515,Pune,Symbiosis International University,4th,Electric Vehicle,Google Form
LD516,Rishikesh,"All India Institute of Medical Sciences, Rishikesh",2nd,Data Science,WhatsApp
LD517,Ahmedabad,CEPT University,2nd,Data Analytics,LinkedIn
LD518,Rishikesh,Parmarth Niketan,2nd,Data Science,Mass-Mailing
LD519,Kolkata,Jadavpur University,3rd,Robotics,Mass-Mailing
LD520,Kolkata,Indian Statistical Institute,3rd,Electric Vehicle,College
LD521,Kolkata,Indian Institute of Technology Kharagpur,2nd,Electric Vehicle,Instagram
LD522,Pune,"College of Engineering, Pune",4th,Robotics,Collaboration
LD523,Chennai,Indian Institute of Technology Madras,1st,Accounting,Collaboration
LD524,Hyderabad,Indian Institute of Technology Hyderabad,1st,Prompt Engineering,Instagram
LD525,Pune,Symbiosis International University,4th,Electric Vehicle,WhatsApp
LD526,Kolkata,Indian Institute of Technology Kharagpur,2nd,Prompt Engineering,LinkedIn
LD527,Amritsar,Sri Guru Ram Das University of Health Sciences,3rd,Robotics,Mass-Mailing
LD528,Mumbai,Indian Institute of Technology Bombay,2nd,Data Analytics,WhatsApp
LD529,Lucknow,"Amity University, Lucknow",2nd,Robotics,Mass-Mailing
LD530,Agra,Dayalbagh Educational Institute,4th,AI,LinkedIn
LD531,Varanasi,Sampurnanand Sanskrit University,1st,AI,LinkedIn
LD532,Varanasi,Ashoka Institute of Technology and Management,1st,Accounting,Mass-Mailing
LD533,Mysore,All India Institute of Speech and Hearing,3rd,Data Science,LinkedIn
LD534,Mumbai,Indian Institute of Technology Bombay,3rd,Robotics,Mass-Mailing
LD535,Udaipur,Mohanlal Sukhadia University,3rd,Finance,Google Form
LD536,Pune,Symbiosis International University,2nd,Robotics,College
LD537,Delhi,Indian Institute of Technology Delhi,2nd,Data Science,Mass-Mailing
LD538,Chennai,University of Madras,3rd,Robotics,Instagram
LD539,Pune,"College of Engineering, Pune",1st,Business Analytics,LinkedIn
LD540,Amritsar,Guru Nanak Dev University,2nd,Robotics,Google Form
LD541,Rishikesh,Dev Sanskriti Vishwavidyalaya,3rd,AI,Google Form
LD542,Mysore,JSS Academy of Higher Education & Research,2nd,Finance,LinkedIn
LD543,Mysore,All India Institute of Speech and Hearing,3rd,Data Science,Mass-Mailing
LD544,Kolkata,Indian Statistical Institute,1st,Accounting,Instagram
LD545,Kolkata,Jadavpur University,2nd,AI,LinkedIn
LD546,Rishikesh,Sri Hemkunt Sahib Public School,3rd,Finance,Instagram
LD547,Agra,Agra College,2nd,Prompt Engineering,WhatsApp
LD548,Lucknow,"Amity University, Lucknow",4th,Data Analytics,Instagram
LD549,Bangalore,Christ University,2nd,Software Engineering,WhatsApp
LD550,Lucknow,King George's Medical University,2nd,AI,LinkedIn
LD551,Kolkata,Presidency University,4th,AI,LinkedIn
LD552,Bangalore,Bangalore University,1st,Robotics,Mass-Mailing
LD553,Jaipur,Manipal University Jaipur,3rd,Finance,LinkedIn
LD554,Kolkata,University of Calcutta,2nd,Prompt Engineering,College
LD555,Bangalore,Christ University,1st,Accounting,College
LD556,Jaipur,Manipal University Jaipur,4th,Robotics,WhatsApp
LD557,Hyderabad,Osmania University,3rd,Data Science,Instagram
LD558,Delhi,Jamia Millia Islamia,1st,Prompt Engineering,Mass-Mailing
LD559,Udaipur,Mohanlal Sukhadia University,4th,Robotics,Google Form
LD560,Kolkata,Indian Institute of Technology Kharagpur,4th,Software Engineering,LinkedIn
LD561,Udaipur,Maharana Pratap University of Agriculture and Technology,2nd,Robotics,Mass-Mailing
LD562,Mumbai,Tata Institute of Social Sciences,2nd,Accounting,WhatsApp
LD563,Rishikesh,"All India Institute of Medical Sciences, Rishikesh",3rd,Finance,Instagram
LD564,Mysore,JSS Academy of Higher Education & Research,4th,Data Analytics,Instagram
LD565,Rishikesh,Sri Hemkunt Sahib Public School,3rd,AI,Collaboration
LD566,Rishikesh,Sri Hemkunt Sahib Public School,1st,Accounting,Mass-Mailing
LD567,Udaipur,Pacific University,4th,Business Analytics,College
LD568,Amritsar,"Hindu College, Amritsar",1st,Prompt Engineering,Mass-Mailing
LD569,Chennai,Anna University,4th,Software Engineering,College
LD570,Rishikesh,Dev Sanskriti Vishwavidyalaya,4th,Data Science,LinkedIn
LD571,Srinagar,"Government Medical College, Srinagar",1st,Software Engineering,Mass-Mailing
LD572,Shimla,Himachal Pradesh University,1st,AI,Instagram
LD573,Jaipur,University of Rajasthan,2nd,Electric Vehicle,WhatsApp
LD574,Bangalore,RV College of Engineering,2nd,Business Analytics,Collaboration
LD575,Udaipur,Pacific University,2nd,Business Analytics,Google Form
LD576,Lucknow,Indian Institute of Management Lucknow,3rd,Data Science,Mass-Mailing
LD577,Shimla,St. Bede's College,1st,Software Engineering,WhatsApp
LD578,Bangalore,Indian Institute of Science,1st,Robotics,Instagram
LD579,Ahmedabad,Indian Institute of Technology Gandhinagar,1st,Data Analytics,Instagram
LD580,Udaipur,Vidya Bhawan Polytechnic College,4th,Data Analytics,Instagram
LD581,Pune,University of Pune,4th,Data Analytics,Google Form
LD582,Agra,Agra College,1st,Data Science,LinkedIn
LD583,Rishikesh,Uttarakhand Sanskrit University,2nd,Software Engineering,LinkedIn
LD584,Rishikesh,"All India Institute of Medical Sciences, Rishikesh",2nd,Finance,College
LD585,Rishikesh,"All India Institute of Medical Sciences, Rishikesh",2nd,Finance,Instagram
LD586,Shimla,St. Bede's College,4th,AI,WhatsApp
LD587,Jaipur,Malaviya National Institute of Technology Jaipur,1st,Accounting,LinkedIn
LD588,Mumbai,Tata Institute of Social Sciences,3rd,Robotics,Mass-Mailing
LD589,Rishikesh,Sri Hemkunt Sahib Public School,1st,Accounting,LinkedIn
LD590,Amritsar,Guru Nanak Dev University,1st,Accounting,Google Form
LD591,Goa,"Birla Institute of Technology and Science, Goa",1st,Prompt Engineering,LinkedIn
LD592,Goa,"Birla Institute of Technology and Science, Goa",3rd,AI,College
LD593,Rishikesh,Uttarakhand Sanskrit University,1st,Data Science,LinkedIn
LD594,Bangalore,RV College of Engineering,4th,Electric Vehicle,Google Form
LD595,Lucknow,Babasaheb Bhimrao Ambedkar University,4th,Electric Vehicle,Mass-Mailing
LD596,Pune,Fergusson College,4th,Prompt Engineering,Google Form
LD597,Rishikesh,Dev Sanskriti Vishwavidyalaya,1st,Data Analytics,Collaboration
LD598,Agra,Hindustan College of Science and Technology,3rd,Business Analytics,Instagram
LD599,Pune,University of Pune,1st,Data Analytics,LinkedIn
LD600,Jaipur,"Birla Institute of Technology and Science, Pilani",4th,Robotics,Instagram
LD601,Shimla,Himachal Pradesh University,2nd,Electric Vehicle,Collaboration
LD602,Ahmedabad,Gujarat University,2nd,Business Analytics,Instagram
LD603,Goa,Padre Conceicao College of Engineering,4th,Data Analytics,College
